,S No.,Movie Name,Duration,Year,Rating,Metascore,Director1,Director2,Director3
0,1,Spider-Man: Across the Spider-Verse,140,2023,9.1,86,Joaquim Dos Santos, Kemp Powers, Justin K. Thompson 
1,2,The Dark Knight,152,2008,9.0,84,Christopher Nolan ,nan,nan
2,3,The Lord of the Rings: The Return of the King,201,2003,9.0,94,Peter Jackson ,nan,nan
3,4,Inception,148,2010,8.8,74,Christopher Nolan ,nan,nan
4,5,The Lord of the Rings: The Fellowship of the Ring,178,2001,8.8,92,Peter Jackson ,nan,nan
5,6,The Lord of the Rings: The Two Towers,179,2002,8.8,87,Peter Jackson ,nan,nan
6,7,The Matrix,136,1999,8.7,73,Lana Wachowski, Lilly Wachowski ,nan
7,8,Star Wars: Episode V - The Empire Strikes Back,124,1980,8.7,82,Irvin Kershner ,nan,nan
8,9,Soorarai Pottru,153,2020,8.7,Nan,Sudha Kongara ,nan,nan
9,10,Star Wars: Episode IV - A New Hope,121,1977,8.6,90,George Lucas ,nan,nan
10,11,Terminator 2: Judgment Day,137,1991,8.6,75,James Cameron ,nan,nan
11,12,Seven Samurai,207,1954,8.6,98,Akira Kurosawa ,nan,nan
12,13,Harakiri,133,1962,8.6,85,Masaki Kobayashi ,nan,nan
13,14,Sita Ramam,163,2022,8.6,Nan,Hanu Raghavapudi ,nan,nan
14,15,Léon: The Professional,110,1994,8.5,64,Luc Besson ,nan,nan
15,16,Gladiator,155,2000,8.5,67,Ridley Scott ,nan,nan
16,17,Spider-Man: Into the Spider-Verse,117,2018,8.4,87,Bob Persichetti, Peter Ramsey, Rodney Rothman 
17,18,Indiana Jones and the Raiders of the Lost Ark,115,1981,8.4,85,Steven Spielberg ,nan,nan
18,19,Avengers: Endgame,181,2019,8.4,78,Anthony Russo, Joe Russo ,nan
19,20,Avengers: Infinity War,149,2018,8.4,68,Anthony Russo, Joe Russo ,nan
20,21,Oldboy,101,2003,8.4,77,Park Chan-wook ,nan,nan
21,22,The Dark Knight Rises,164,2012,8.4,78,Christopher Nolan ,nan,nan
22,23,Aliens,137,1986,8.4,84,James Cameron ,nan,nan
23,24,Kaithi,145,2019,8.4,Nan,Lokesh Kanagaraj ,nan,nan
24,25,Asuran,141,2019,8.4,Nan,Vetrimaaran ,nan,nan
25,26,Top Gun: Maverick,130,2022,8.3,78,Joseph Kosinski ,nan,nan
26,27,Heat,170,1995,8.3,76,Michael Mann ,nan,nan
27,28,North by Northwest,136,1959,8.3,98,Alfred Hitchcock ,nan,nan
28,29,Star Wars: Episode VI - Return of the Jedi,131,1983,8.3,58,Richard Marquand ,nan,nan
29,30,Princess Mononoke,134,1997,8.3,76,Hayao Miyazaki ,nan,nan
30,31,Kantara,148,2022,8.3,Nan,Rishab Shetty ,nan,nan
31,32,Dangal,161,2016,8.3,Nan,Nitesh Tiwari ,nan,nan
32,33,Raatchasan,170,2018,8.3,Nan,Ram Kumar ,nan,nan
33,34,K,168,2022,8.3,Nan,Prashanth Neel ,nan,nan
34,35,Vikram,175,2022,8.3,Nan,Lokesh Kanagaraj ,nan,nan
35,36,Shershaah,135,2021,8.3,Nan,Vishnuvardhan ,nan,nan
36,37,Guardians of the Galaxy Vol,150,2023,8.2,64,James Gunn ,nan,nan
37,38,Spider-Man: No Way Home,148,2021,8.2,71,Jon Watts ,nan,nan
38,39,Jurassic Park,127,1993,8.2,68,Steven Spielberg ,nan,nan
39,40,Indiana Jones and the Last Crusade,127,1989,8.2,65,Steven Spielberg ,nan,nan
40,41,1917,119,2019,8.2,78,Sam Mendes ,nan,nan
41,42,Batman Begins,140,2005,8.2,70,Christopher Nolan ,nan,nan
42,43,Kill Bill: Vol,111,2003,8.2,69,Quentin Tarantino ,nan,nan
43,44,Die Hard,132,1988,8.2,72,John McTiernan ,nan,nan
44,45,V for Vendetta,132,2005,8.2,62,James McTeigue ,nan,nan
45,46,Demon Slayer the Movie: Mugen Train,117,2020,8.2,72,Haruo Sotozaki ,nan,nan
46,47,Ran,162,1985,8.2,97,Akira Kurosawa ,nan,nan
47,48,Gangs of Wasseypur,321,2012,8.2,89,Anurag Kashyap ,nan,nan
48,49,Vikram Vedha,147,2017,8.2,Nan,Gayatri, Pushkar, Gowtham Selvaraj 
49,50,Yojimbo,110,1961,8.2,93,Akira Kurosawa ,nan,nan
50,51,Uri: The Surgical Strike,138,2019,8.2,Nan,Aditya Dhar ,nan,nan
51,52,Baahubali 2: The Conclusion,167,2017,8.2,Nan,S.S. Rajamouli ,nan,nan
52,53,K,156,2018,8.2,Nan,Prashanth Neel ,nan,nan
53,54,Rangasthalam 1985,170,2018,8.2,Nan,Sukumar ,nan,nan
54,55,Sherlock Jr,45,1924,8.2,Nan,Buster Keaton ,nan,nan
55,56,The Mountain II,135,2016,8.2,Nan,Alper Caglar ,nan,nan
56,57,Paan Singh Tomar,135,2012,8.2,Nan,Tigmanshu Dhulia ,nan,nan
57,58,Mad Max: Fury Road,120,2015,8.1,90,George Miller ,nan,nan
58,59,Pirates of the Caribbean: The Curse of the Black Pearl,143,2003,8.1,63,Gore Verbinski ,nan,nan
59,60,Blade Runner,117,1982,8.1,84,Ridley Scott ,nan,nan
60,61,Ford v Ferrari,152,2019,8.1,81,James Mangold ,nan,nan
61,62,The Terminator,107,1984,8.1,84,James Cameron ,nan,nan
62,63,Logan,137,2017,8.1,77,James Mangold ,nan,nan
63,64,How to Train Your Dragon,98,2010,8.1,75,Dean DeBlois, Chris Sanders ,nan
64,65,Rush,123,2013,8.1,74,Ron Howard ,nan,nan
65,66,"Lock, Stock and Two Smoking Barrels",107,1998,8.1,66,Guy Ritchie ,nan,nan
66,67,Warrior,140,2011,8.1,71,Gavin O'Connor ,nan,nan
67,68,The Iron Giant,86,1999,8.1,85,Brad Bird ,nan,nan
68,69,Neon Genesis Evangelion: The End of Evangelion,87,1997,8.1,Nan,Hideaki Anno, Kazuya Tsurumaki ,nan
69,70,The General,67,1926,8.1,Nan,Clyde Bruckman, Buster Keaton ,nan
70,71,Bajrangi Bhaijaan,163,2015,8.1,Nan,Kabir Khan, Mehmet Tutkun ,nan
71,72,Sholay,162,1975,8.1,Nan,Ramesh Sippy ,nan,nan
72,73,The Hidden Fortress,126,1958,8.1,89,Akira Kurosawa ,nan,nan
73,74,White Heat,114,1949,8.1,Nan,Raoul Walsh ,nan,nan
74,75,A Wednesday,104,2008,8.1,Nan,Neeraj Pandey ,nan,nan
75,76,Sarfarosh,174,1999,8.1,Nan,John Mathew Matthan ,nan,nan
76,77,Major,150,2022,8.1,Nan,Sashi Kiran Tikka ,nan,nan
77,78,Hera Pheri,156,2000,8.1,Nan,Priyadarshan ,nan,nan
78,79,Thuppakki,165,2012,8.1,Nan,A.R. Murugadoss ,nan,nan
79,80,Kaththi,166,2014,8.1,Nan,A.R. Murugadoss ,nan,nan
80,81,John Wick: Chapter 4,169,2023,8.0,78,Chad Stahelski ,nan,nan
81,82,Guardians of the Galaxy,121,2014,8.0,76,James Gunn ,nan,nan
82,83,Dune,155,2021,8.0,74,Denis Villeneuve ,nan,nan
83,84,Blade Runner 2049,164,2017,8.0,81,Denis Villeneuve ,nan,nan
84,85,Deadpool,108,2016,8.0,65,Tim Miller ,nan,nan
85,86,The Avengers,143,2012,8.0,69,Joss Whedon ,nan,nan
86,87,The Incredibles,115,2004,8.0,90,Brad Bird ,nan,nan
87,88,Casino Royale,144,2006,8.0,80,Martin Campbell ,nan,nan
88,89,The Revenant,156,2015,8.0,76,Alejandro G. Iñárritu ,nan,nan
89,90,Akira,124,1988,8.0,67,Katsuhiro Ôtomo ,nan,nan
90,91,Kill Bill: Vol,137,2004,8.0,83,Quentin Tarantino ,nan,nan
91,92,The Bourne Ultimatum,115,2007,8.0,85,Paul Greengrass ,nan,nan
92,93,Ip Man,106,2008,8.0,59,Wilson Yip ,nan,nan
93,94,Infernal Affairs,101,2002,8.0,75,Andrew Lau, Alan Mak ,nan
