,Movie Name,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,Gross Collection,Certification,votes
0,Spider-Man: Across the Spider-Verse, Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez,Animation, Action, Adventure,Nan,PG ,"54,872"
1,The Dark Knight, Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine,Action, Crime, Drama,534.86,PG-13 ,"2,720,281"
2,The Lord of the Rings: The Return of the King, Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom,Action, Adventure, Drama,377.85,PG-13 ,"1,888,273"
3,Inception, Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe,Action, Adventure, Sci-Fi,292.58,PG-13 ,"2,414,702"
4,The Lord of the Rings: The Fellowship of the Ring, Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean,Action, Adventure, Drama,315.54,PG-13 ,"1,916,881"
5,The Lord of the Rings: The Two Towers, Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom,Action, Adventure, Drama,342.55,PG-13 ,"1,704,299"
6,The Matrix, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving,Action, Sci-Fi,Nan,171.48,R ,"1,959,133"
7,Star Wars: Episode V - The Empire Strikes Back, Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams,Action, Adventure, Fantasy,290.48,PG ,"1,321,971"
8,Soorarai Pottru, Suriya, Paresh Rawal, Urvashi, Aparna Balamurali,Action, Drama,Nan,Nan,TV-MA ,"119,545"
9,Star Wars: Episode IV - A New Hope, Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness,Action, Adventure, Fantasy,322.74,PG ,"1,394,418"
10,Terminator 2: Judgment Day, Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick,Action, Sci-Fi,Nan,204.84,R ,"1,123,758"
11,Seven Samurai, Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki,Action, Drama,Nan,0.27,Not Rated ,"352,998"
12,Harakiri, Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba,Action, Drama, Mystery,Nan,Not Rated ,"61,060"
13,Sita Ramam, Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth,Action, Drama, Mystery,Nan,U ,"60,066"
14,Léon: The Professional, Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello,Action, Crime, Drama,19.50,R ,"1,190,132"
15,Gladiator, Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed,Action, Adventure, Drama,187.71,R ,"1,537,097"
16,Spider-Man: Into the Spider-Verse, Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali,Animation, Action, Adventure,190.24,PG ,"572,271"
17,Indiana Jones and the Raiders of the Lost Ark, Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies,Action, Adventure,Nan,248.16,PG ,"987,361"
18,Avengers: Endgame, Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth,Action, Adventure, Drama,858.37,PG-13 ,"1,181,465"
19,Avengers: Infinity War, Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans,Action, Adventure, Sci-Fi,678.82,PG-13 ,"1,124,770"
20,Oldboy, Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok,Action, Drama, Mystery,0.71,R ,"596,814"
21,The Dark Knight Rises, Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman,Action, Drama, Thriller,448.14,PG-13 ,"1,742,698"
22,Aliens, Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser,Action, Adventure, Sci-Fi,85.16,R ,"732,903"
23,Kaithi, Karthi, Narain, Arjun Das, George Maryan,Action, Adventure, Crime,Nan,Not Rated ,"36,160"
